"Species_1","Species_2","Species_3","Species_4","Species_5","Species_6","Species_7","Species_8","Species_9","Species_10","Species_11","Species_12","Species_13","Species_14","Species_15","Species_16","Species_17","Species_18","Species_19","Species_20","SampleID"
470,30,522,222,415,145,522,325,943,925,752,23,417,766,325,987,586,962,185,90,"SA053"
1000,434,633,255,137,322,395,842,453,466,169,78,854,65,267,142,645,88,227,837,"SA054"
846,257,618,654,914,951,966,40,438,14,844,362,330,118,244,834,767,748,666,554,"SA055"
828,498,285,472,348,188,49,792,50,943,320,761,444,310,956,30,693,836,468,603,"SA056"
762,653,224,161,853,750,153,962,360,375,234,743,413,309,497,779,867,16,110,811,"SA057"
112,84,539,272,143,459,697,661,897,8,310,98,352,732,694,229,95,853,146,263,"SA058"
839,180,996,713,359,141,728,9,371,981,790,962,928,141,915,134,610,550,317,40,"SA059"
814,104,329,613,246,205,108,466,503,378,255,143,930,978,609,191,241,340,607,138,"SA060"
991,812,323,132,46,675,465,717,528,986,923,485,280,855,263,216,470,326,947,105,"SA061"
48,628,35,70,785,138,642,28,170,140,148,565,729,584,919,934,284,639,423,175,"SA062"
747,631,526,966,199,416,397,845,539,562,216,932,217,900,712,989,918,128,926,961,"SA063"
419,391,597,368,392,451,990,746,110,794,626,820,940,9,44,310,400,311,100,194,"SA064"
582,432,742,677,324,623,679,264,614,194,257,533,64,785,634,137,565,583,866,332,"SA065"
831,349,953,846,602,251,315,746,545,711,707,384,989,908,853,661,81,759,260,692,"SA066"
14,794,490,242,541,464,154,672,228,566,742,546,210,111,119,585,943,552,284,693,"SA067"
12,887,83,35,991,166,301,172,902,10,262,797,319,466,952,344,736,688,166,286,"SA068"
996,651,260,595,254,858,95,670,199,257,573,627,122,674,41,814,475,371,30,299,"SA069"
766,593,875,836,735,157,27,930,422,471,916,104,584,465,171,283,182,907,98,430,"SA070"
315,328,852,362,978,88,310,851,884,927,708,192,658,875,23,846,730,976,120,383,"SA071"
812,76,843,332,558,893,742,781,238,995,844,842,996,401,390,137,615,766,194,907,"SA072"
991,591,947,645,393,301,960,686,292,210,920,479,194,567,709,862,61,12,830,535,"SA073"
201,178,653,959,825,752,416,591,876,545,295,777,816,654,656,67,53,523,15,607,"SA074"
646,741,488,596,112,402,522,403,619,645,651,818,619,286,486,435,455,799,386,504,"SA075"
438,294,188,510,536,449,68,128,857,901,142,297,986,892,81,680,181,207,914,504,"SA076"
938,639,713,155,444,160,630,820,477,732,854,227,442,139,968,206,491,386,15,424,"SA077"
988,125,85,846,274,145,353,717,894,610,666,620,724,557,560,943,982,542,310,218,"SA078"
456,255,461,214,157,149,425,788,169,224,733,374,76,253,717,379,224,744,429,319,"SA079"
231,821,936,670,872,514,964,18,621,916,315,886,630,74,283,626,713,333,562,242,"SA080"
695,804,845,618,562,493,681,174,723,803,668,126,215,763,802,184,150,325,921,1,"SA081"
557,46,716,50,551,616,718,599,190,312,464,158,919,606,629,659,526,424,517,224,"SA082"
585,876,124,949,592,447,171,81,569,227,650,638,812,333,909,735,828,276,740,969,"SA083"
434,128,595,583,728,56,204,707,672,658,786,186,856,910,396,496,127,626,618,432,"SA084"
426,609,990,861,639,5,877,564,919,736,902,665,817,590,308,869,820,44,206,963,"SA085"
597,470,615,518,614,222,838,283,326,465,527,512,417,946,732,832,246,607,509,256,"SA086"
452,557,273,266,52,851,721,392,547,864,158,742,978,902,695,983,97,417,61,135,"SA087"
957,730,64,597,565,267,281,673,5,675,270,337,499,387,435,667,164,44,775,563,"SA088"
844,470,72,796,587,599,210,162,370,161,135,111,499,718,808,643,664,993,204,433,"SA089"
223,989,874,689,629,609,494,109,638,12,238,402,343,827,306,45,677,627,857,863,"SA090"
420,985,363,481,622,992,522,533,610,866,723,543,67,914,915,191,133,839,514,915,"SA091"
420,393,946,466,82,191,220,103,818,101,627,740,907,131,630,33,980,397,252,618,"SA092"
21,609,558,618,78,753,763,93,118,312,452,173,221,44,777,847,147,953,813,841,"SA093"
380,345,513,449,687,242,25,640,663,434,634,586,298,988,717,424,942,378,67,288,"SA094"
422,437,948,603,830,327,711,564,202,616,529,500,659,389,663,817,700,820,26,899,"SA095"
191,229,110,5,146,4,841,306,587,339,330,936,567,711,703,152,568,7,596,141,"SA096"
705,6,819,995,784,997,931,266,695,580,771,910,971,526,193,406,246,874,847,142,"SA097"
14,24,377,406,486,438,662,633,528,830,635,153,105,387,598,723,341,74,452,580,"SA098"
731,59,557,118,989,998,270,831,370,335,774,307,544,719,767,60,840,817,502,995,"SA099"
433,765,314,870,499,197,218,51,698,382,179,698,915,880,236,330,922,586,210,533,"SA100"
